Index,Class,Trinket,Map,Game ID,Kills,Coins,Completed
0,Champion,Echo Bolt,Dustworks,1,2,19,1
1,Evincer,Accelerator,Dustworks,1,1,8,1
2,Chronomancer,Bandage,Dustworks,1,0,6,1
3,Hexblade,Echo Bolt,Dustworks,1,0,6,1
4,Hexblade,Echo Bolt,Dustworks,1,0,4,1
5,Evincer,Accelerator,Dustworks,1,3,34,1
6,Skirmisher,Echo Bolt,Dustworks,1,1,23,1
7,Champion,Echo Bolt,Dustworks,1,1,8,1
8,Ranger,Vigor Flask,Dustworks,1,0,2,1
9,Spectre,Accelerator,Dustworks,1,1,24,1
10,Champion,Echo Bolt,Dustworks,1,0,4,1
11,Evincer,Accelerator,Dustworks,1,1,7,1
12,Skirmisher,Echo Bolt,Dustworks,1,0,27,1
13,Champion,Echo Bolt,Dustworks,1,3,38,1
14,Frost Knight,Hedge Seed,Dustworks,1,0,14,1
15,Vampire,Vigor Flask,Dustworks,1,3,46,1
16,Stargazer,Spring Plume,Dustworks,1,0,9,1
17,Champion,Risk-It Biscuit,Dustworks,1,1,12,1
18,Champion,Echo Bolt,Dustworks,1,0,31,1
19,Stargazer,Smoke Screen,Dustworks,1,2,98,1
20,Champion,Risk-It Biscuit,Dustworks,1,1,22,1
21,Hexblade,Accelerator,Dustworks,1,0,7,1
22,Champion,Echo Bolt,Dustworks,1,0,13,1
23,Champion,Risk-It Biscuit,Dustworks,1,2,26,1
24,Frost Knight,Vigor Flask,Dustworks,1,4,76,0
25,Ranger,Lava Cake,Dustworks,1,0,3,1
26,Champion,Echo Bolt,Dustworks,1,0,10,1
27,Artillery,Hedge Seed,Dustworks,1,0,7,0
28,Champion,Echo Bolt,Dustworks,1,0,14,0
29,Stargazer,Smoke Screen,Dustworks,1,0,4,0
30,Stargazer,Smoke Screen,Polaris,2,1,19,1
31,Ranger,Vigor Flask,Polaris,2,0,2,1
32,Cloudbreaker,Hedge Seed,Polaris,2,0,7,1
33,Spectre,Vigor Flask,Polaris,2,0,4,1
34,Champion,Vigor Flask,Polaris,2,3,7,1
35,Cloudbreaker,Hedge Seed,Polaris,2,0,4,1
36,Spectre,Vigor Flask,Polaris,2,0,30,1
37,Cloudbreaker,Hedge Seed,Polaris,2,2,16,1
38,Stargazer,Smoke Screen,Polaris,2,0,13,1
39,Hexblade,Smoke Screen,Polaris,2,3,17,1
40,Cloudbreaker,Hedge Seed,Polaris,2,1,16,1
41,Stargazer,Smoke Screen,Polaris,2,1,60,1
42,Spectre,Vigor Flask,Polaris,2,1,28,1
43,Evincer,Flame Trap,Polaris,2,0,4,1
44,Griefer,Nox Bomb,Polaris,2,1,15,1
45,Champion,Spring Plume,Polaris,2,1,0,1
46,Griefer,Nox Bomb,Polaris,2,1,37,1
47,Battlesmith,Spring Plume,Polaris,2,0,2,1
48,Griefer,Vigor Flask,Polaris,2,0,14,1
49,Titan,Echo Bolt,Polaris,2,1,8,1
