Index,Class,Trinket,Map,Game ID,Kills,Coins,Completed,Lifetime
0,Evincer,Echo Bolt,Dustworks,1,2,32,1,2175
1,Ranger,Hedge Seed,Dustworks,1,3,10,1,937
2,Battlesmith,Bandage,Dustworks,1,0,8,1,385
3,Chronomancer,Hedge Seed,Dustworks,1,1,0,1,278
4,Battlesmith,Bandage,Dustworks,1,0,6,1,374
5,Chronomancer,Hedge Seed,Dustworks,1,0,0,1,181
6,Chronomancer,Hedge Seed,Dustworks,1,1,7,1,473
7,Spectre,Risk-It Biscuit,Dustworks,1,0,2,1,208
8,Titan,Bandage,Dustworks,1,1,9,1,435
9,Stargazer,Vigor Flask,Dustworks,1,5,94,0,0
10,Chronomancer,Hedge Seed,Dustworks,1,1,13,1,1345
11,Titan,Risk-It Biscuit,Dustworks,1,0,2,1,360
12,Evincer,Echo Bolt,Dustworks,1,0,22,1,1636
13,Titan,Risk-It Biscuit,Dustworks,1,1,13,1,838
14,Chronomancer,Hedge Seed,Dustworks,1,0,22,1,1724
15,Titan,Risk-It Biscuit,Dustworks,1,1,33,1,915
16,Evincer,Echo Bolt,Dustworks,1,1,25,1,1128
17,Titan,Risk-It Biscuit,Dustworks,1,0,0,1,287
18,Chronomancer,Hedge Seed,Dustworks,1,0,4,0,0
19,Titan,Risk-It Biscuit,Dustworks,1,0,4,0,0
20,Evincer,Echo Bolt,Dustworks,1,0,0,0,0
21,Battlesmith,Nox Bomb,Fissure,2,0,14,1,829
22,Evincer,Echo Bolt,Fissure,2,2,41,1,2195
23,Alchemist,Spring Plume,Fissure,2,4,63,1,3777
24,Ranger,Bandage,Fissure,2,0,0,1,658
25,Evincer,Echo Bolt,Fissure,2,0,4,1,825
26,Spectre,Bandage,Fissure,2,3,88,0,0
27,Evincer,Echo Bolt,Fissure,2,0,3,1,239
28,Evincer,Echo Bolt,Fissure,2,0,11,1,700
29,Evincer,Echo Bolt,Fissure,2,1,5,1,706
30,Evincer,Echo Bolt,Fissure,2,0,6,1,583
31,Evincer,Echo Bolt,Fissure,2,1,12,1,644
32,Alchemist,Spring Plume,Fissure,2,0,17,1,454
33,Evincer,Echo Bolt,Fissure,2,1,0,1,342
34,Alchemist,Spring Plume,Fissure,2,0,0,0,0
35,Evincer,Echo Bolt,Fissure,2,0,0,0,0
36,Hexblade,Bandage,Sunken,3,1,14,1,1266
37,Evincer,Echo Bolt,Sunken,3,0,6,1,1088
38,Dancer,Bandage,Sunken,3,1,4,1,628
39,Evincer,Vigor Flask,Sunken,3,0,2,1,473
40,Dancer,Bandage,Sunken,3,1,9,1,527
41,Evincer,Vigor Flask,Sunken,3,1,5,1,807
42,Evincer,Echo Bolt,Sunken,3,3,23,1,1215
43,Skirmisher,Lava Cake,Sunken,3,0,9,1,583
44,Dancer,Bandage,Sunken,3,2,10,1,862
45,Evincer,Vigor Flask,Sunken,3,1,3,1,418
46,Spectre,Echo Bolt,Sunken,3,0,0,1,204
47,Evincer,Vigor Flask,Sunken,3,1,14,1,657
48,Spectre,Lava Cake,Sunken,3,3,29,1,1410
49,Dancer,Bandage,Sunken,3,0,4,1,460
50,Evincer,Echo Bolt,Sunken,3,1,13,1,702
51,Dancer,Bandage,Sunken,3,1,27,1,2180
52,Evincer,Vigor Flask,Sunken,3,0,19,1,1139
53,Evincer,Echo Bolt,Sunken,3,0,0,1,248
54,Evincer,Echo Bolt,Sunken,3,1,11,1,412
55,Ranger,Nox Bomb,Sunken,3,2,5,1,854
56,Evincer,Echo Bolt,Sunken,3,1,41,1,1239
57,Cloudbreaker,Spring Plume,Sunken,3,1,14,1,1072
58,Dancer,Bandage,Sunken,3,1,6,1,873
59,Evincer,Echo Bolt,Sunken,3,1,37,1,675
60,Frost Knight,Vigor Flask,Sunken,3,1,39,1,476
61,Spectre,Risk-It Biscuit,Sunken,3,1,11,1,278
62,Evincer,Echo Bolt,Sunken,3,1,24,1,623
63,Dancer,Bandage,Sunken,3,0,10,1,390
64,Cloudbreaker,Lava Cake,Sunken,3,1,16,1,655
65,Frost Knight,Vigor Flask,Sunken,3,2,17,1,638
66,Dancer,Bandage,Sunken,3,3,53,1,1459
67,Evincer,Echo Bolt,Sunken,3,0,11,1,226
68,Evincer,Hedge Seed,Sunken,3,1,28,1,1603
69,Evincer,Echo Bolt,Sunken,3,0,7,1,277
70,Evincer,Echo Bolt,Sunken,3,0,0,1,310
71,Frost Knight,Vigor Flask,Sunken,3,1,10,1,643
72,Evincer,Echo Bolt,Sunken,3,1,23,1,650
73,Dancer,Bandage,Sunken,3,2,48,1,1313
74,Frost Knight,Vigor Flask,Sunken,3,0,7,1,443
75,Evincer,Echo Bolt,Sunken,3,1,30,1,864
76,Dancer,Accelerator,Sunken,3,3,68,1,1711
77,Frost Knight,Vigor Flask,Sunken,3,1,13,1,795
78,Dancer,Bandage,Sunken,3,1,34,1,1100
79,Evincer,Echo Bolt,Sunken,3,1,15,1,713
80,Frost Knight,Vigor Flask,Sunken,3,0,0,1,200
81,Evincer,Echo Bolt,Sunken,3,1,13,1,231
82,Frost Knight,Vigor Flask,Sunken,3,1,54,1,361
83,Dancer,Spring Plume,Sunken,3,4,47,1,773
84,Evincer,Echo Bolt,Sunken,3,0,23,1,345
85,Dancer,Bandage,Sunken,3,0,2,1,392
86,Evincer,Echo Bolt,Sunken,3,0,9,1,230
87,Dancer,Bandage,Sunken,3,1,11,1,508
88,Frost Knight,Vigor Flask,Sunken,3,1,69,1,407
89,Evincer,Echo Bolt,Sunken,3,1,56,1,429
90,Skirmisher,Hedge Seed,Sunken,3,3,31,1,767
91,Frost Knight,Vigor Flask,Sunken,3,0,13,1,289
92,Dancer,Bandage,Sunken,3,0,9,1,461
93,Evincer,Echo Bolt,Sunken,3,1,5,1,281
94,Frost Knight,Vigor Flask,Sunken,3,1,74,1,799
95,Evincer,Echo Bolt,Sunken,3,0,36,1,398
96,Dancer,Bandage,Sunken,3,0,2,1,373
97,Spectre,Risk-It Biscuit,Sunken,3,4,32,1,811
98,Evincer,Echo Bolt,Sunken,3,0,3,1,115
99,Dancer,Bandage,Sunken,3,2,39,1,551
100,Evincer,Echo Bolt,Sunken,3,0,8,1,178
101,Frost Knight,Vigor Flask,Sunken,3,0,9,1,187
102,Evincer,Echo Bolt,Sunken,3,1,48,1,443
103,Artillery,Vigor Flask,Sunken,3,2,67,1,645
104,Frost Knight,Vigor Flask,Sunken,3,0,64,0,0
105,Dancer,Bandage,Sunken,3,1,0,1,199
106,Evincer,Echo Bolt,Sunken,3,1,17,1,387
107,Dancer,Bandage,Sunken,3,1,33,0,0
108,Skirmisher,Flame Trap,Sunken,3,0,2,0,0
109,Evincer,Echo Bolt,Sunken,3,0,0,0,0
110,Evincer,Echo Bolt,Polaris,4,0,2,1,665
111,Titan,Bandage,Polaris,4,2,14,1,1484
112,Frost Knight,Vigor Flask,Polaris,4,0,2,1,261
113,Griefer,Lava Cake,Polaris,4,1,5,1,569
114,Griefer,Lava Cake,Polaris,4,1,17,1,1308
115,Champion,Bandage,Polaris,4,0,10,1,1236
116,Alchemist,Flame Trap,Polaris,4,0,8,1,1630
117,Battlesmith,Lava Cake,Polaris,4,4,37,1,2119
118,Alchemist,Smoke Screen,Polaris,4,0,16,1,1472
119,Griefer,Lava Cake,Polaris,4,0,0,1,509
120,Artillery,Bandage,Polaris,4,0,4,1,1002
121,Griefer,Lava Cake,Polaris,4,3,68,1,3317
122,Vampire,Accelerator,Polaris,4,2,12,1,614
123,Artillery,Bandage,Polaris,4,1,14,1,1792
124,Alchemist,Smoke Screen,Polaris,4,0,4,1,1184
125,Dancer,Bandage,Polaris,4,0,6,1,696
126,Artillery,Echo Bolt,Polaris,4,2,36,1,2508
127,Alchemist,Smoke Screen,Polaris,4,0,3,1,727
128,Artillery,Bandage,Polaris,4,2,58,1,1894
129,Griefer,Hedge Seed,Polaris,4,0,17,1,886
130,Griefer,Lava Cake,Polaris,4,1,13,1,966
131,Griefer,Hedge Seed,Polaris,4,2,52,1,1096
132,Spectre,Bandage,Polaris,4,2,42,1,1487
133,Griefer,Lava Cake,Polaris,4,0,13,1,461
134,Griefer,Lava Cake,Polaris,4,3,81,0,0
135,Artillery,Bandage,Polaris,4,1,16,1,2276
136,Griefer,Hedge Seed,Polaris,4,0,5,1,756
